name	1920	1920m	1920f	1925	1925m	1925f
全　　　　　　　　国	55,963,053 	28,044,185 	27,918,868 	59,736,822 	30,013,109 	29,723,713 	64,450,005 	32,390,155 	32,059,850 	69,254,148 	34,734,133 	34,520,015 	73,114,308 	36,566,010 	36,548,298 	71,998,104 	33,894,059 	38,104,045 	84,114,574 	41,241,192 	42,873,382 	90,076,594 	44,242,657 	45,833,937 	94,301,623 	46,300,445 	48,001,178 	99,209,137 	48,692,138 	50,516,999 	104,665,171 	51,369,177 	53,295,994 	111,939,643 	55,090,673 	56,848,970 	117,060,396 	57,593,769 	59,466,627 	121,048,923 	59,497,316 	61,551,607 	123,611,167 	60,696,724 	62,914,443 	125,570,246 	61,574,398 	63,995,848 	126,925,843 	62,110,764 	64,815,079 	127,767,994 	62,348,977 	65,419,017 	128,057,352 	62,327,737 	65,729,615									
11　埼　　玉　　県	1,319,533 	641,161 	678,372 	1,394,461 	682,052 	712,409 	1,459,172 	718,779 	740,393 	1,528,854 	753,802 	775,052 	1,608,039 	798,321 	809,718 	2,047,261 	955,753 	1,091,508 	2,146,445 	1,049,695 	1,096,750 	2,262,623 	1,110,083 	1,152,540 	2,430,871 	1,200,573 	1,230,298 	3,014,983 	1,511,947 	1,503,036 	3,866,472 	1,951,219 	1,915,253 	4,821,340 	2,437,128 	2,384,212 	5,420,480 	2,739,175 	2,681,305 	5,863,678 	2,961,591 	2,902,087 	6,405,319 	3,245,868 	3,159,451 	6,759,311 	3,419,218 	3,340,093 	6,938,006 	3,500,224 	3,437,782 	7,054,243 	3,554,843 	3,499,400 	7,194,556 	3,608,711 	3,585,845 																				
12　千　　葉　　県	1,336,155 	656,968 	679,187 	1,399,257 	691,242 	708,015 	1,470,121 	729,439 	740,682 	1,546,394 	764,751 	781,643 	1,588,425 	776,541 	811,884 	1,966,862 	908,228 	1,058,634 	2,139,037 	1,036,932 	1,102,105 	2,205,060 	1,074,181 	1,130,879 	2,306,010 	1,128,734 	1,177,276 	2,701,770 	1,343,167 	1,358,603 	3,366,624 	1,694,854 	1,671,770 	4,149,147 	2,095,295 	2,053,852 	4,735,424 	2,383,157 	2,352,267 	5,148,163 	2,588,365 	2,559,798 	5,555,429 	2,802,774 	2,752,655 	5,797,782 	2,923,839 	2,873,943 	5,926,285 	2,976,984 	2,949,301 	6,056,462 	3,029,486 	3,026,976 	6,216,289 	3,098,139 	3,118,150 																				
13　東　　京　　都	3,699,428 	1,952,989 	1,746,439 	4,485,144 	2,387,609 	2,097,535 	5,408,678 	2,855,323 	2,553,355 	6,369,919 	3,325,696 	3,044,223 	7,354,971 	3,795,875 	3,559,096 	3,488,284 	1,788,145 	1,700,139 	6,277,500 	3,169,389 	3,108,111 	8,037,084 	4,115,823 	3,921,261 	9,683,802 	4,997,023 	4,686,779 	10,869,244 	5,564,583 	5,304,661 	11,408,071 	5,801,009 	5,607,062 	11,673,554 	5,913,373 	5,760,181 	11,618,281 	5,856,280 	5,762,001 	11,829,363 	5,955,029 	5,874,334 	11,855,563 	5,969,773 	5,885,790 	11,773,605 	5,892,704 	5,880,901 	12,064,101 	6,028,562 	6,035,539 	12,576,601 	6,264,895 	6,311,706 	13,159,388 	6,512,110 	6,647,278 																				
14　神  奈  川  県	1,323,390 	689,751 	633,639 	1,416,792 	739,699 	677,093 	1,619,606 	839,309 	780,297 	1,840,005 	951,348 	888,657 	2,188,974 	1,137,936 	1,051,038 	1,865,667 	922,522 	943,145 	2,487,665 	1,247,934 	1,239,731 	2,919,497 	1,470,415 	1,449,082 	3,443,176 	1,746,926 	1,696,250 	4,430,743 	2,280,926 	2,149,817 	5,472,247 	2,822,212 	2,650,035 	6,397,748 	3,287,118 	3,110,630 	6,924,348 	3,536,021 	3,388,327 	7,431,974 	3,804,081 	3,627,893 	7,980,391 	4,098,147 	3,882,244 	8,245,900 	4,209,525 	4,036,375 	8,489,974 	4,308,786 	4,181,188 	8,791,597 	4,444,555 	4,347,042 	9,048,331 	4,544,545 	4,503,786 																				
15　新　　潟　　県	1,776,474 	871,532 	904,942 	1,849,807 	913,886 	935,921 	1,933,326 	955,621 	977,705 	1,995,777 	982,497 	1,013,280 	2,064,402 	1,017,080 	1,047,322 	2,389,653 	1,095,809 	1,293,844 	2,460,997 	1,194,929 	1,266,068 	2,473,492 	1,195,872 	1,277,620 	2,442,037 	1,177,923 	1,264,114 	2,398,931 	1,160,283 	1,238,648 	2,360,982 	1,140,148 	1,220,834 	2,391,938 	1,160,869 	1,231,069 	2,451,357 	1,193,653 	1,257,704 	2,478,470 	1,205,071 	1,273,399 	2,474,583 	1,200,376 	1,274,207 	2,488,364 	1,209,833 	1,278,531 	2,475,733 	1,202,004 	1,273,729 	2,431,459 	1,176,919 	1,254,540 	2,374,450 	1,148,236 	1,226,214 																				
16　富　　山　　県	724,276 	354,775 	369,501 	749,243 	368,593 	380,650 	778,953 	381,809 	397,144 	798,890 	388,771 	410,119 	822,569 	401,261 	421,308 	953,834 	442,490 	511,344 	1,008,790 	488,850 	519,940 	1,021,121 	494,109 	527,012 	1,032,614 	500,545 	532,069 	1,025,465 	491,662 	533,803 	1,029,695 	492,492 	537,203 	1,070,791 	514,991 	555,800 	1,103,459 	532,686 	570,773 	1,118,369 	538,955 	579,414 	1,120,161 	538,640 	581,521 	1,123,125 	540,921 	582,204 	1,120,851 	540,212 	580,639 	1,111,729 	535,617 	576,112 	1,093,247 	526,605 	566,642 																				
17　石　　川　　県	747,360 	364,375 	382,985 	750,854 	365,597 	385,257 	756,835 	368,402 	388,433 	768,416 	370,907 	397,509 	757,676 	363,922 	393,754 	887,510 	405,264 	482,246 	957,279 	460,859 	496,420 	966,187 	463,477 	502,710 	973,418 	464,889 	508,529 	980,499 	468,518 	511,981 	1,002,420 	480,380 	522,040 	1,069,872 	518,594 	551,278 	1,119,304 	542,782 	576,522 	1,152,325 	557,664 	594,661 	1,164,628 	562,684 	601,944 	1,180,068 	570,835 	609,233 	1,180,977 	572,244 	608,733 	1,174,026 	567,060 	606,966 	1,169,788 	564,972 	604,816 																				
18　福　　井　　県	599,155 	293,181 	305,974 	597,899 	293,039 	304,860 	618,144 	304,525 	313,619 	646,659 	316,424 	330,235 	643,904 	312,075 	331,829 	724,856 	332,461 	392,395 	752,374 	364,343 	388,031 	754,055 	363,770 	390,285 	752,696 	360,288 	392,408 	750,557 	359,649 	390,908 	744,230 	356,639 	387,591 	773,599 	373,416 	400,183 	794,354 	384,269 	410,085 	817,633 	397,115 	420,518 	823,585 	400,391 	423,194 	826,996 	401,860 	425,136 	828,944 	402,367 	426,577 	821,592 	397,271 	424,321 	806,314 	389,712 	416,602 																				
19　山　　梨　　県	583,453 	290,817 	292,636 	600,675 	300,289 	300,386 	631,042 	315,327 	315,715 	646,727 	319,924 	326,803 	663,026 	328,056 	334,970 	839,057 	384,255 	454,802 	811,369 	393,550 	417,819 	807,044 	390,205 	416,839 	782,062 	379,057 	403,005 	763,194 	367,739 	395,455 	762,029 	366,925 	395,104 	783,050 	379,283 	403,767 	804,256 	391,649 	412,607 	832,832 	407,910 	424,922 	852,966 	418,701 	434,265 	881,996 	434,707 	447,289 	888,172 	436,837 	451,335 	884,515 	433,569 	450,946 	863,075 	422,526 	440,549 																				
20　長　　野　　県	1,562,722 	758,639 	804,083 	1,629,217 	793,875 	835,342 	1,717,118 	832,312 	884,806 	1,714,000 	840,103 	873,897 	1,710,729 	833,987 	876,742 	2,121,050 	973,871 	1,147,179 	2,060,831 	1,001,192 	1,059,639 	2,021,292 	979,004 	1,042,288 	1,981,433 	954,673 	1,026,760 	1,958,007 	937,219 	1,020,788 	1,956,917 	936,354 	1,020,563 	2,017,564 	972,471 	1,045,093 	2,083,934 	1,008,885 	1,075,049 	2,136,927 	1,038,070 	1,098,857 	2,156,627 	1,048,109 	1,108,518 	2,193,984 	1,070,471 	1,123,513 	2,215,168 	1,080,986 	1,134,182 	2,196,114 	1,068,203 	1,127,911 	2,152,449 	1,046,178 	1,106,271 																				
